zao,zhong,wan,times,label
7.1,11.45,17.9,11,0
8.08,9.82,9.5,13,0
6.2,15.3,16.5,10,0
7.5,15.33,15.5,12,0
8.05,12.15,15.67,15,0
8.4,13.75,12.0,13,0
8.67,14.95,23.25,12,0
10.5,4.83,13.06,11,0
9.13,7.9,12.82,16,0
7.62,20.67,18.88,13,0
7.55,9.86,20.75,17,0
7.76,3.5,29.1,11,0
12.3,14.94,0.0,10,0
9.0,43.3,8.75,11,0
4.67,6.17,14.32,11,0
10.38,10.5,19.5,14,0
8.88,8.38,8.77,13,0
4.6,14.33,8.0,12,0
5.75,17.68,9.75,10,0
8.62,14.13,11.33,13,0
4.5,35.85,13.8,10,0
15.5,28.88,15.35,7,0
14.17,30.67,18.3,10,0
19.36,25.32,103.4,8,0
7.03,9.0,8.97,11,0
6.0,9.33,8.7,8,0
0.0,12.07,8.12,7,0
0.0,10.54,11.75,7,0
2.6,12.76,7.73,9,0
5.0,15.12,6.9,7,0
5.3,10.2,12.1,7,0
0.0,11.76,6.2,8,0
2.65,20.44,8.3,8,0
7.0,16.1,12.53,9,0
0.0,18.7,16.67,9,0
0.0,8.95,8.83,7,0
0.0,20.1,19.06,9,0
0.0,20.96,17.74,10,0
5.25,10.33,18.3,8,0
5.67,11.87,15.18,15,0
6.2,15.32,13.47,15,0
4.75,15.15,17.84,15,0
4.05,12.46,15.6,13,0
5.0,16.45,10.53,13,0
6.62,12.0,21.5,10,0
4.2,12.54,8.1,11,0
6.58,13.88,18.75,10,0
0.0,18.13,19.05,8,0
0.0,18.07,9.2,9,0
4.5,8.74,14.12,10,0
9.88,13.06,7.5,12,0
12.9,14.38,11.4,13,0
7.25,14.4,9.85,10,0
3.5,11.8,11.75,10,0
8.0,13.23,9.25,12,0
8.62,11.54,7.33,12,0
5.38,12.23,13.25,12,0
5.9,6.55,7.5,12,0
6.25,13.0,9.5,10,0
8.0,0.0,7.92,10,0
7.83,10.67,7.62,10,0
3.86,10.5,17.0,12,0
3.17,9.38,9.83,13,0
5.33,7.0,9.5,13,0
4.75,11.32,11.7,12,0
7.5,8.67,8.0,11,0
4.17,11.7,9.0,13,0
4.0,9.95,9.0,12,0
5.08,9.5,10.5,10,0
4.62,15.88,8.67,12,0
4.72,10.38,4.1,15,0
7.22,9.0,6.83,11,0
4.48,10.5,10.75,14,0
5.02,16.13,8.4,14,0
4.12,15.17,6.83,13,0
4.17,11.5,10.6,10,0
6.42,6.75,9.24,13,0
6.58,8.8,8.33,13,0
9.2,12.25,14.83,12,0
5.33,11.33,11.58,12,0
4.57,9.5,11.33,11,0
6.15,8.25,10.67,11,0
5.59,13.5,20.83,12,0
4.8,8.8,4.75,14,0
3.35,13.72,11.4,13,0
6.12,25.5,12.15,11,0
4.07,17.66,12.25,15,0
